Person ID	Career	Pronouns	LGBTQ	Nationality	Needs	Child
506651	Post doctorate or almost	Male	Yes	German	NA	
491635	Professor or associate	Male	No	Australian	Nope	
484762	Post doctorate or almost	Male	No	Australian	NA	
487734	Post doctorate or almost	Female	No	Japanese	N/A	
486120	"Students (BSc, MSc, PhD)"	Male	No answer	Belgian	NA	
505297	"Students (BSc, MSc, PhD)"	Female	Yes	French	no	
499439	"Senior position, lecturers, researchers"	Female	No	German	NA	
474446	Post doctorate or almost	Female	No answer	German	NA	
503843	"Senior position, lecturers, researchers"	Female	No answer	German	NA	
487096	"Senior position, lecturers, researchers"	Male	No	American	NA	
488722	"Students (BSc, MSc, PhD)"	Female	Yes	Lebanese	NA	
485893	Professor or associate	Female	No	American	NA	
487062	"Senior position, lecturers, researchers"	Female	Yes	German	NA	
499432	"Students (BSc, MSc, PhD)"	Male	No	German	NA	
487885	"Students (BSc, MSc, PhD)"	Female	No	German	NA	
168027	Professor or associate	Female	No	German	NA	
485181	Professor or associate	Male	No	Dutch	NA	
497827	"Students (BSc, MSc, PhD)"	Female	No	Italian	NA	
486702	"Senior position, lecturers, researchers"	Female	No	Czech	NA	
504685	"Students (BSc, MSc, PhD)"	Female	Yes	American	NA	
202351	Professor or associate	Female	No	Swiss	no	
487207	Post doctorate or almost	Female	No answer	NA	NA	
505087	Post doctorate or almost	Male	No	German	NA	
506469	"Senior position, lecturers, researchers"	Male	No	Dutch	None	
488562	Post doctorate or almost	Female	No	Finnish	NA	
505120	Professor or associate	Male	No	Austrian	NA	
486334	"Senior position, lecturers, researchers"	Male	No	German	NA	
488838	Post doctorate or almost	Male	Yes	Italian	NA	
505320	Post doctorate or almost	Female	No	NA	NA	
400125	Post doctorate or almost	Female	No	German	NA	
486852	"Senior position, lecturers, researchers"	Male	No	German	NA	
487341	Post doctorate or almost	Female	No	Thai	NA	
506060	Professor or associate	Male	No answer	German	NA	
486996	"Students (BSc, MSc, PhD)"	Male	No	NA	NA	
504158	"Students (BSc, MSc, PhD)"	Female	No	German	NA	
497834	"Students (BSc, MSc, PhD)"	Female	No	German	NA	
488679	"Students (BSc, MSc, PhD)"	Male	No answer	NA	NA	
498975	"Students (BSc, MSc, PhD)"	Male	No	Indian	NA	
485916	Post doctorate or almost	Female	No	Hungarian	NA	
488734	"Senior position, lecturers, researchers"	Female	Yes	German	no	
486395	"Senior position, lecturers, researchers"	Male	No	German	NA	
503335	Professor or associate	Male	No	German	NA	
487365	"Students (BSc, MSc, PhD)"	Female	No	German	NA	
486402	"Students (BSc, MSc, PhD)"	Female	No	Canadian	NA	
487280	"Students (BSc, MSc, PhD)"	Female	Yes	French	NA	
487155	"Students (BSc, MSc, PhD)"	Male	No	Colombian	NA	
485307	"Students (BSc, MSc, PhD)"	Female	No	German	NA	
500107	"Students (BSc, MSc, PhD)"	Male	No	NA	NA	
488740	"Students (BSc, MSc, PhD)"	No answer	Yes	Dutch	NA	
404858	"Students (BSc, MSc, PhD)"	Female	No	Dual nationality	NA	
484222	"Students (BSc, MSc, PhD)"	Female	No	Swedish	NA	
486337	"Students (BSc, MSc, PhD)"	Male	No	German	NA	
486790	"Students (BSc, MSc, PhD)"	Female	Yes	French	NA	
483833	Professor or associate	Female	No	British	NA	
487361	"Senior position, lecturers, researchers"	Female	No answer	Dual nationality	NA	
498392	Post doctorate or almost	Male	No	French	NA	
503930	"Students (BSc, MSc, PhD)"	Male	No	British	NA	
490816	"Senior position, lecturers, researchers"	Female	No	Australian	NA	
485439	"Students (BSc, MSc, PhD)"	Female	No	Singaporean	NA	
502345	"Students (BSc, MSc, PhD)"	Female	No	Dutch	NA	
